"Name","score","gender"
"Sybell Spicer","0.02590506154603821","0"
"Marlon Manderly","0.007703727751857236","1"
"Notch","0.0","1"
"Colemon","0.03428507761297648","1"
"Melly","0.0","0"
"Creighton Longbough","0.0749348303308049","1"
"Lommy","0.002721848020793647","1"
"Lorent Caswell","0.07783640596221253","1"
"Moon Boy","0.001496608542012217","1"
"Watty","0.0028679396206790137","1"
"Vargo Hoat","0.005819248845239487","1"
"Tregar","0.09645165598675316","1"
"Three-Tooth","0.0","0"
"Hareth (Mole's Town)","0.03922751039505566","1"
"Mariya Darry","0.03973920771442223","0"
"Edric Storm","0.001969987644102742","1"
"Lorcas","0.0","1"
"Ravella Swann","0.04705958808286843","0"
"Dobber","0.0","1"
"Halys Hornwood","0.020809858684023397","1"
"Maric Seaworth","0.0378605865538317","1"
"Mebble","0.0","1"
"Black Bernarr","0.023850888712244965","1"
"Polliver","0.0010419447494115983","1"
"Shagwell","0.013523206928529485","1"
"Chella","0.013541866698896688","0"
"Mathis Rowan","0.0","1"
"Khorane Sathmantes","0.0","1"
"Benfrey Frey","0.029131815581979324","1"
"Tytos Frey","0.07075722365411136","1"
"Cuger","0.0","1"
"Lyn Corbray","0.038326405758888876","1"
"Meribald","0.0028679396206790137","1"
"Thistle","0.0","0"
"Aegon Frey (Jinglebell)","0.0","1"
"Donella Hornwood","0.0","0"
"Jynessa Blackmont","0.029436598886285876","0"
"Harys Haigh","0.018823637396831717","1"
"Mance Rayder","0.01404040850354807","1"
"Harrion Karstark","0.0325892760217282","1"
"Zei","0.03922751039505566","0"
"Jon Connington","0.03309318280896144","1"
"Maris","0.0","0"
"Alyn Ambrose","0.020704649080589648","1"
"Ragnor Pyke","0.0","1"
"Murch (Winterfell)","0.020053392226195663","1"
"Gendry","6.877154935543055E-4","1"
"Aron Santagar","0.04548849004270847","1"
"Tymor","0.0","1"
"Ryman Frey","0.02590506154603821","1"
"Daario Naharis","0.020933979958297287","1"
"Doreah","0.0035957982016646306","0"
"Varamyr","0.03922751039505566","1"
"Barsena","0.0013289191553531937","0"
"Lucas Codd","0.008704995837597726","1"
"Harwin","0.039761652576489434","1"
"Lark","0.11599482268254391","1"
"Masha Heddle","0.033299381631603404","0"
"Selyse Florent","0.0","0"
"Barra","0.005318607830751299","0"
"Gilly","3.7831943301604073E-4","0"
"Walton","0.0","1"
"Blue Bard","0.0","1"
"Goady","0.016945957207744073","1"
"Pycelle","3.6038466755182843E-4","1"
"Ramsay Snow","0.0","1"
"Duram Bar Emmon","0.008854179852889445","1"
"Serra Frey","0.04784532941520616","0"
"Willam Wells","0.08944519592596349","1"
"Larraq","0.0031707783762895143","1"
"Quentyn Martell","0.02189550114811836","1"
"Alerie Hightower","0.0","0"
"Walder Rivers","0.013491898168845924","1"
"Koss","0.0","1"
"Gylbert Farwynd","0.00853905951095277","1"
"Qezza","0.029495624704678522","0"
"Alayaya","0.0","0"
"Squint","0.0666530879458936","1"
"Garse Goodbrook","0.0","1"
"Leo Lefford","0.024639773791049306","1"
"Dalla","0.0","0"
"Donyse","0.0","0"
"Nymella Toland","0.0","0"
"Leobald Tallhart","0.0666530879458936","1"
"Maerie (Whore)","0.0","0"
"Elmar Frey","0.05065245357387623","1"
"Corliss Penny","0.00984269456598686","1"
"Josmyn Peckledon","0.15694461266687282","1"
"Leonette Fossoway","0.04654060882227096","0"
"Thoros","0.0013778097115985514","1"
"Areo Hotah","0.014105927291196921","1"
"Bass","0.17328679513998632","1"
"Borcas","0.0","1"
"Jason Mallister","0.08067356306369503","1"
"Ryk","8.652945861826094E-4","1"
"Lyle Crakehall","0.045992318022310116","1"
"Pate (novice)","0.026157435444478804","1"
"Dalbridge","0.04023594781085251","1"
"Ralf Stonehouse","0.0823475485715376","1"
"Vayon Poole","0.021644662957657206","1"
"Willit","0.027839177077674845","1"
"Arwyn Frey","0.12414576368237826","0"
"Steffon Swyft","0.0","1"
"Horton Redfort","0.11099571809890346","1"
"Kevan Lannister","0.019046633931082753","1"
"Myria Jordayne","0.05406674295145166","0"
"Yellow Dick","0.13865980342413037","1"
"Blane","0.05694377129524401","1"
"Hop-Robin","0.021811951297481064","1"
"Roger Hogg","0.0","1"
"Spotted Cat","0.10172336006186201","1"
"Torrhen Karstark","0.028087825870792924","1"
"Cleos Frey","0.0","1"
"Ballabar","0.0","1"
"Bellegere Otherys (courtesan)","0.05280104267694375","0"
"Mors Umber","0.0","1"
"Flement Brax","0.0710137629519284","1"
"Robin Flint","0.021811951297481064","1"
"Wynton Stout","0.014105927291196921","1"
"Garth of Greenaway","0.05498036103365121","1"
"Jommy","0.002721848020793647","1"
"Morros Slynt","0.013303188158884519","1"
"Sawwood","0.051656841963269785","1"
"Desmond Grell","0.04077336356234972","1"
"Ulmer","0.03776306267933613","1"
"Donnel Locke","0.04180358214114546","1"
"Gorold Goodbrother","0.04877254998661771","1"
"Bennet","0.02708944510754773","1"
"Jon Snow","0.006874708822551447","1"
"Ulf son of Umar","0.008045342073032652","1"
"Tion Frey","0.051663143892666734","0"
"Robert Arryn","0.0","1"
"Brienne of Tarth","0.011906232242166718","0"
"Caleotte","0.00791982464271896","1"
"Poul Pemford","0.06997556141017827","1"
"Mohor","0.006039920006336433","1"
"Jhogo","0.0","1"
"Kromm","0.00729379416104994","1"
"Marwyn","0.02875729284318197","1"
"Farlen","0.011498954546618274","1"
"Roose Bolton","0.009254962118654977","1"
"Matrice","0.007914682792605663","0"
"Daemon Sand","0.04628691451109208","1"
"Eldred Codd","0.02693826438044028","1"
"Stiv","0.005136744098053521","1"
"Gladden Wylde","0.10659689109628905","1"
"Cotter Pyke","0.008504873381103624","1"
"Maege Mormont","0.03321184588363394","0"
"Ossy","5.899942081383753E-4","1"
"Mord","0.002073063464356488","1"
"Theo Frey","0.037029531608873664","1"
"Jaggot","0.007646805090641034","1"
"Aethan","0.028100561374051838","1"
"Rigney","0.0","1"
"Archibald Yronwood","0.02189550114811836","1"
"Brynden Rivers","0.02320012911502486","1"
"Munciter","0.005819248845239487","1"
"Stonesnake","0.020903880998724388","1"
"Illyrio Mopatis","0.03644680325852394","1"
"Lewys Piper","0.01826504925148144","1"
"Paxter Redwyne","0.029392208486869402","1"
"Edmure Tully","0.006494726711601518","1"
"Gawen Westerling","0.047685261321354554","1"
"Vyman","0.0018253513393748065","1"
"Belaquo","0.010398147197052319","1"
"Kenned","0.0","1"
"Melisandre","0.0021862301703676765","0"
"Porridge","0.008140396284411952","1"
"Conn","0.0027612195879242745","1"
"Wulfe","0.02189550114811836","1"
"Luton","0.004351067990564242","1"
"Meldred Merlyn","0.054930614433405495","1"
"Taena of Myr","0.0","0"
"Perwyn Frey","0.029131815581979324","1"
"Harrag Sharp","0.0031707783762895143","1"
"Dagon Codd","0.041117590946322245","1"
"Humfrey Swyft","0.011081882751315188","1"
"Eggon","0.0","1"
"Gage","0.0032083125043612312","1"
"Hugo Vance","0.0","1"
"Jate Blackberry","0.0","1"
"Wat (sailor)","0.00312439271938702","1"
"Timett","0.0014727758409301308","1"
"Wyman Manderly","0.02453618338265293","1"
"Belwas","0.02189550114811836","1"
"Axell Florent","0.0","1"
"Hobb","0.001042327749171535","1"
"Bearded Ben","0.0757205177420461","1"
"Sandor Clegane","0.017623977622243506","1"
"Sansa Stark","0.006967418712218279","0"
"Rodrik Harlaw","0.0","1"
"Harmune","0.040795779630780925","1"
"Deziel Dalt","0.018990940537379555","1"
"Terrance Lynderly","0.02884791920622724","1"
"Alyn Stackspear","0.020704649080589648","1"
"Torwynd the Tame","8.652945861826094E-4","1"
"Andar Royce","0.008583360383842187","1"
"Tim Tangletongue","0.05109326706140001","1"
"Hoster Tully","0.011027417111037233","1"
"Rickard Ryswell","0.016515503773833318","1"
"Hyle Hunt","0.1048202974082042","1"
"Bryen","0.07485757732251629","1"
"Orphan Oss","0.003288547689506493","1"
"Ygritte","0.0010979546230359656","0"
"Imry Florent","0.01677270669722305","1"
"Jhezane","0.0","0"
"Emmon Cuy","0.016749778551550833","1"
"Rakharo","0.004548792463640021","1"
"Rolfe the Dwarf","0.029926639886296274","1"
"Fogo","0.08749253560298108","1"
"Aggo","0.0","1"
"Guyard Morrigen","0.0","1"
"Alester Florent","0.0","1"
"Viserys Targaryen","0.019088798265039682","1"
"Matthar","0.028945644203556345","1"
"Chiggen","0.013503874731871465","1"
"Skahaz mo Kandaq","0.02189550114811836","1"
"Praed","0.0","1"
"Big Walder Frey","0.006337174929561783","1"
"Luco Prestayn","0.0","1"
"Nestor Royce","0.008583360383842187","1"
"Rowan","0.08699664391535677","1"
"Osfryd Kettleblack","0.028587816522961967","1"
"Craster","0.0031830518614994483","1"
"Will","0.0020139930409340226","1"
"Gynir","0.019924971691597255","1"
"Oppo","0.0","1"
"Grenn","7.704206222610087E-4","1"
"Lysa Tully","0.0","0"
"Marq Piper","0.03644291872633135","1"
"Del","0.03003647087101982","1"
"Todder","0.011097093824930402","1"
"Jared Frey","0.02453618338265293","1"
"Gueren","0.0","1"
"Sylva Santagar","0.04548849004270847","0"
"Adrack Humble","0.02693826438044028","1"
"Dunsen","0.03156931863988821","1"
"Godry Farring","0.16256721279685796","1"
"Haggo","0.007646805090641034","1"
"Clayton Suggs","0.04345312007099027","1"
"Chataya","0.017433799577911222","0"
"Kennos of Kayce","0.11425502976262833","1"
"Grazdar zo Galare","0.02968981135204376","1"
"Tom of Sevenstreams","0.0","1"
"Clubfoot Karl","0.09648197532821565","1"
